,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,
"Table Title: Number Of Part-Time Employed Residents By Sex, End June, Annual",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data last updated: 25/03/2024,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thousands
Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 
Total,250.2,247,248.6,234.6,250.4,240.5,230.6,228,223.1,220.2,205,196.8,194.7,176.7,156.2
  Male,95.7,93.6,95.4,89.4,94.1,87.9,83.4,81.3,77.1,82.2,73.3,70.5,70.7,61.8,55.6
  Female,154.6,153.5,153.2,145.3,156.3,152.7,147.2,146.7,145.9,138,131.7,126.3,124,114.9,100.6
,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,
1. Data are from Comprehensive Labour Force Survey. 2. Residents refer to Singapore Citizens and Permanent Residents. 3. Part-time employment refers to employment where the normal hours of work is less than 35 hours in a week.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,
Date generated: 25/09/2025,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,
